Hour,Speed_at_2m,Speed_at_10m,Speed_at_50m,Speed_at_100m
7922,3.732872587,5.274288654,7.452202067,8.648446451
7923,3.478312284,4.970167637,7.101882844,8.281889516
7924,3.270729594,4.71857357,6.80733026,7.971240731
7925,3.139436491,4.549174786,6.591944538,7.733700006
7926,3.050893599,4.44466877,6.475178446,7.614293366
7927,2.909438244,4.270741463,6.268987727,7.395859927
7928,2.821557902,4.166574478,6.152750886,7.277440187
7929,3.407978679,4.546443939,6.065223535,6.86683698
7930,3.839424939,4.621007919,5.561695965,6.023709446
7931,4.156121291,4.915129185,5.812750209,6.248201641
7932,4.202947375,4.925283432,5.771763176,6.179770273
7933,4.563490162,5.330274105,6.225897509,6.656595161
7934,4.553827155,5.313073635,6.198907093,6.624562956
7935,4.586525789,5.353290558,6.248241287,6.678395183
7936,4.624437726,5.399552822,6.304587153,6.739701986
7937,4.78370878,5.609753132,6.578437703,7.0455767
7938,5.356782078,6.363406181,7.559190879,8.141112297
7939,5.536435912,6.694110394,8.093855808,8.783551841
7940,5.305321056,6.618596077,8.256958169,9.082143918
7941,4.748029862,6.135622978,7.928734743,8.854370007
7942,4.301510632,5.695125103,7.540246373,8.508977437
7943,3.975307281,5.584134102,7.844061217,9.080346732
7944,4.236923383,5.765474796,7.845480463,8.958542929
7945,4.025599572,5.518532276,7.565133575,8.665952021
7946,3.807667622,5.258609772,7.262445013,8.345816686
7947,3.547644495,4.937928677,6.873050456,7.924953422
7948,3.288130878,4.626156807,6.508660267,7.539604353
7949,3.084843915,4.389262676,6.245251745,7.269619369
7950,3.003805379,4.318516731,6.208653493,7.259372823
7951,2.8846916,4.192154408,6.092214008,7.156328542
7952,2.716820562,4.007822514,5.912293777,6.989959777
7953,3.169597866,4.192308903,5.545010654,6.254717072
7954,4.016794644,4.851239681,5.859031524,6.355207403
7955,4.223832531,5.011608601,5.946310745,6.400798343
7956,4.183187068,4.915200234,5.775307903,6.190662304
7957,4.171352916,4.878268242,5.704983855,6.102890494
7958,4.10942851,4.789854527,5.582943305,5.963769104
7959,4.089818381,4.782800674,5.593202475,5.983250474
7960,4.278277539,4.989805698,5.819669406,6.218330935
7961,4.600054841,5.377997875,6.287503551,6.725164755
7962,5.189118392,6.143864155,7.274273566,7.823100413
7963,5.637724619,6.835032463,8.286617728,9.003216232
7964,5.264307239,6.61228323,8.305421307,9.162269213
7965,4.434030806,5.96501112,8.02460768,9.118016115
7966,3.966714849,5.487230301,7.590587557,8.729056105
7967,4.289298462,5.866732121,8.024283244,9.182957308
7968,4.414026821,6.052861214,8.300160004,9.509185288
7969,4.391050441,6.033400536,8.290025932,9.505753638
7970,4.187173929,5.783345223,7.987984864,9.180009189
7971,3.976461024,5.53630209,7.708019932,8.888755846
7972,3.718279962,5.232437611,7.363190408,8.530255804
7973,3.580971406,5.081257343,7.21010398,8.382847967
7974,3.436196931,4.918560982,7.040412006,8.216375178
7975,3.276571764,4.734320164,6.840621548,8.015562741
7976,3.164777387,4.61347723,6.725329952,7.910591913
7977,3.253764483,4.481992722,6.173851506,7.08690878
7978,4.146256688,5.039049625,6.124083248,6.660642722
7979,4.331614812,5.162591457,6.152982597,6.63607005
7980,4.304262483,5.069957733,5.97186429,6.408161393
7981,4.380288756,5.130163193,6.008410826,6.431559328
7982,4.489471436,5.241325855,6.119093776,6.541063456
7983,4.537632765,5.283675194,6.152376139,6.569215577
7984,4.637283368,5.395709038,6.278174894,6.70139811
7985,4.820610607,5.62925005,6.573535741,7.027558082
7986,5.219953482,6.164424419,7.279782962,7.82031836
7987,5.522977503,6.672160149,8.060456706,8.74410293
7988,5.290525611,6.588478565,8.204865263,9.017975194
7989,4.522459451,5.918084621,7.744397924,8.695478319
7990,3.993860813,5.432014465,7.38803442,8.434386789
7991,4.381273697,5.988269806,8.184691884,9.363658449
7992,4.611317471,6.278567314,8.548621466,9.763871351
7993,4.47660047,6.112437248,8.346040564,9.544131619
7994,4.005447611,5.540885925,7.66491534,8.81458387
7995,3.450139832,4.885451794,6.91787591,8.035894548
7996,3.185029109,4.558180332,6.523333768,7.612310717
7997,2.969040578,4.326828957,6.305555054,7.415868514
7998,2.899724906,4.242343426,6.206615566,7.311790293
7999,2.942273118,4.291590691,6.259701231,7.364727811
8000,2.972601917,4.311568737,6.253654372,7.339855655
8001,3.430219284,4.608782768,6.192280099,7.032197241
8002,5.389066502,6.530271053,7.913140432,8.595574444
8003,5.36718826,6.427709103,7.697781838,8.319392512
8004,4.792681234,5.663947105,6.69360119,7.19285637
8005,4.355284015,5.109051228,5.993272621,6.419780193
8006,4.137649312,4.814618111,5.602347083,5.980149561
8007,4.297993763,4.98792696,5.788611322,6.171908558
8008,4.299545839,4.99314642,5.798638298,6.184423218
8009,4.325173645,5.045210838,5.885116874,6.288642687
8010,4.603262922,5.403094769,6.34189999,6.794922183
8011,5.040264911,6.07537508,7.323063969,7.936503187
8012,5.024555111,6.276582241,7.840591607,8.629054626
8013,4.429778045,5.867650986,7.772246767,8.772524077
8014,3.623656718,5.10875988,7.202511039,8.35078464
8015,3.947618599,5.472190857,7.585553676,8.731089513
8016,3.870176459,5.434237957,7.630386492,8.831442724
8017,3.693828321,5.221467495,7.380885205,8.567339421
8018,3.489978407,4.965830326,7.065794671,8.224838317
8019,3.20065054,4.603897572,6.622363981,7.7448221
8020,2.921643466,4.256648541,6.201665949,7.292868692
8021,2.645943663,3.905976772,5.766054189,6.819103088
8022,2.436565968,3.643391609,5.447955276,6.478651954
